id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1,1629432,6,4.0,7770,24879,2.0,0,0,3,9,6552,1218,2007,0,98093,47.6306,-121.6331,1364,39839
2,222825,5,1.0,1360,4122,2.5,0,0,3,3,1146,214,1917,0,98085,47.7578,-122.0799,3987,26012
3,1220349,7,4.5,5890,30369,3.0,0,0,3,8,5246,644,1967,2006,98063,47.2878,-121.6388,1593,38438
4,957428,1,1.5,5726,22981,2.0,0,0,3,3,5186,540,1960,0,98128,47.6434,-121.3893,2654,3205
5,1128980,1,2.0,5691,2309,1.0,0,0,3,9,4816,875,1971,2001,98154,47.3926,-122.2435,4187,1195
6,948737,1,2.0,4272,15969,1.5,0,0,4,8,3884,388,1945,0,98041,47.5651,-121.8428,5849,27788
7,884723,7,1.0,3592,22682,1.0,0,1,4,12,2140,1452,1993,0,98053,47.6201,-121.34,4103,24182
8,1343847,2,1.5,6234,37995,3.0,0,0,2,13,6083,151,1947,0,98152,47.3065,-121.5143,2271,15154
9,1244687,6,5.0,6765,42559,2.0,0,0,2,3,5639,1126,1919,0,98081,47.6512,-121.7557,5733,6628
10,411009,2,2.5,966,12260,1.0,0,0,4,11,300,666,1971,0,98094,47.1736,-122.4163,4920,3911
11,1220143,5,1.5,5834,1606,2.0,0,0,4,7,4523,1311,1968,0,98135,47.7907,-122.0124,859,31482
12,1147283,7,1.5,4926,1673,2.5,0,0,3,13,4180,746,2004,0,98128,47.3359,-121.7191,2948,4913
13,1162407,1,4.0,6078,39202,1.5,0,0,3,9,5946,132,1933,0,98073,47.2567,-122.0084,3163,16082
14,1390315,6,4.5,6731,40924,3.0,0,0,4,3,5262,1469,2003,0,98083,47.1971,-121.3035,1938,33720
15,960511,6,2.0,3944,3120,1.0,0,2,3,13,2519,1425,1906,0,98192,47.6685,-121.5959,1298,5842
16,923460,3,1.0,3671,18235,1.5,0,1,3,13,2930,741,1949,0,98112,47.5101,-122.2755,3334,20455
17,881970,5,2.0,3419,34575,3.0,0,0,3,10,2361,1058,1952,0,98046,47.7662,-121.9115,5936,15334
18,426158,6,1.0,630,34710,3.0,0,2,4,10,300,330,1985,0,98051,47.5534,-122.0392,5956,27538
19,598046,7,1.5,2185,45717,2.5,0,1,2,11,1319,866,1972,0,98099,47.3384,-121.7874,4939,12511
20,1292321,1,2.5,7976,40937,2.0,0,0,3,4,7223,753,1910,0,98199,47.6855,-121.9641,2784,12258
21,558886,1,2.0,1269,2642,2.0,0,4,3,8,926,343,1975,0,98134,47.2969,-122.2145,2011,36205
22,656235,6,3.0,2891,32398,1.5,0,0,4,12,2408,483,1907,0,98030,47.3036,-121.6308,4920,20052
23,1014690,2,2.0,6111,29692,2.5,0,0,3,7,5724,387,1931,0,98101,47.1198,-122.372,999,21601
24,1484134,5,5.0,7449,46517,3.0,0,0,4,8,6905,544,1962,0,98144,47.2764,-121.8614,2338,13256
25,731194,1,4.5,2933,4625,2.5,0,3,4,7,2075,858,1954,0,98119,47.283,-122.1278,3058,22715
26,1360077,6,3.5,5811,14101,2.5,0,0,3,13,4894,917,1958,0,98057,47.3083,-121.3402,4071,15093
27,1014429,1,2.5,5551,7432,1.5,0,0,3,3,4853,698,1962,0,98193,47.358,-122.1357,3612,15579
28,1215539,6,2.5,6920,20786,2.0,0,0,3,4,5886,1034,1916,0,98106,47.5037,-122.0909,4980,25827
29,480997,5,2.5,1684,37343,2.5,0,0,4,5,1104,580,1925,0,98061,47.2515,-121.6515,3149,2255
30,1326732,6,4.0,5055,27665,2.5,1,0,3,9,3894,1161,1950,0,98017,47.5457,-122.3458,5130,1244
31,954604,3,3.0,3885,23511,2.5,0,2,3,12,3755,130,1932,1994,98191,47.1933,-122.1104,4297,13394
32,1099900,6,4.5,4617,1228,1.0,0,0,3,11,3195,1422,1925,0,98007,47.7516,-121.6649,2258,28909
33,1251764,6,5.0,6896,36591,2.5,0,0,2,4,5622,1274,1921,1988,98163,47.1183,-122.4631,2864,30930
34,1235893,7,2.5,5343,1486,2.5,0,1,3,12,4978,365,1966,0,98121,47.7357,-122.1268,3985,29676
35,632993,5,3.0,3404,41958,3.0,0,0,3,3,2984,420,1994,0,98197,47.483,-122.4901,4769,27817
36,434599,7,1.5,974,38012,1.0,0,0,3,3,551,423,1977,0,98091,47.597,-122.3197,4610,2221
37,534626,6,2.0,1582,44395,2.5,0,0,4,6,1421,161,1981,2004,98030,47.3088,-121.775,4113,39029
38,908138,5,2.5,3058,31442,2.5,0,2,3,11,2964,94,2021,0,98172,47.2217,-121.9519,4015,38965
39,705011,3,2.0,2547,41204,1.5,0,0,3,6,1362,1185,1997,0,98106,47.7631,-122.3128,612,13076
40,846785,5,4.5,3247,2310,1.5,0,0,4,5,2413,834,2003,0,98134,47.4087,-122.4064,5234,2191
41,554490,1,1.5,1475,35740,1.0,0,0,3,12,300,1175,1962,0,98056,47.4364,-122.4324,1548,33471
42,659251,7,3.0,2306,24939,3.0,0,1,3,10,1054,1252,1916,0,98136,47.79,-122.3976,5416,20530
43,577581,5,3.5,689,25830,1.0,1,0,4,11,300,389,1940,0,98125,47.3352,-122.3847,2037,24117
